"ID","SiteID","ObservationTimeUTC","Value","Month","Year","SiteName"
679338,"36061NY08653","1/13/2025 11:00:00 AM",13.03,"Jan","2025","FDR"
679355,"36005NY12387","1/13/2025 12:00:00 PM",17.41,"Jan","2025","Cross Bronx Expy"
679356,"36061NY08454","1/13/2025 12:00:00 PM",16.63,"Jan","2025","Manhattan Bridge"
679357,"36061NY09734","1/13/2025 12:00:00 PM",12.48,"Jan","2025","Broadway/35th St"
679358,"36005NY11534","1/13/2025 12:00:00 PM",13.36,"Jan","2025","Mott Haven"
679359,"36061NY08653","1/13/2025 12:00:00 PM",13.62,"Jan","2025","FDR"
679382,"36005NY12387","1/13/2025 1:00:00 PM",18.68,"Jan","2025","Cross Bronx Expy"
679383,"36061NY08454","1/13/2025 1:00:00 PM",18.65,"Jan","2025","Manhattan Bridge"
679384,"36061NY09734","1/13/2025 1:00:00 PM",13.38,"Jan","2025","Broadway/35th St"
679385,"36005NY11534","1/13/2025 1:00:00 PM",14.76,"Jan","2025","Mott Haven"
679386,"36061NY08653","1/13/2025 1:00:00 PM",14.96,"Jan","2025","FDR"
679403,"36005NY12387","1/13/2025 2:00:00 PM",18.63,"Jan","2025","Cross Bronx Expy"
679404,"36061NY08454","1/13/2025 2:00:00 PM",18.67,"Jan","2025","Manhattan Bridge"
679405,"36061NY09734","1/13/2025 2:00:00 PM",13.88,"Jan","2025","Broadway/35th St"
679406,"36005NY11534","1/13/2025 2:00:00 PM",15.44,"Jan","2025","Mott Haven"
679407,"36061NY08653","1/13/2025 2:00:00 PM",16.08,"Jan","2025","FDR"
679424,"36005NY12387","1/13/2025 3:00:00 PM",18.27,"Jan","2025","Cross Bronx Expy"
679425,"36061NY08454","1/13/2025 3:00:00 PM",17.82,"Jan","2025","Manhattan Bridge"
679426,"36061NY09734","1/13/2025 3:00:00 PM",12.94,"Jan","2025","Broadway/35th St"
679427,"36005NY11534","1/13/2025 3:00:00 PM",13.49,"Jan","2025","Mott Haven"
679428,"36061NY08653","1/13/2025 3:00:00 PM",15.16,"Jan","2025","FDR"
679445,"36005NY12387","1/13/2025 4:00:00 PM",18.98,"Jan","2025","Cross Bronx Expy"
679446,"36061NY08454","1/13/2025 4:00:00 PM",16.11,"Jan","2025","Manhattan Bridge"
679447,"36061NY09734","1/13/2025 4:00:00 PM",13.02,"Jan","2025","Broadway/35th St"
679448,"36005NY11534","1/13/2025 4:00:00 PM",15.59,"Jan","2025","Mott Haven"
679466,"36005NY12387","1/13/2025 5:00:00 PM",17.74,"Jan","2025","Cross Bronx Expy"
679467,"36061NY08454","1/13/2025 5:00:00 PM",15.46,"Jan","2025","Manhattan Bridge"
679468,"36061NY09734","1/13/2025 5:00:00 PM",12.59,"Jan","2025","Broadway/35th St"
679469,"36005NY11534","1/13/2025 5:00:00 PM",14.64,"Jan","2025","Mott Haven"
679487,"36005NY12387","1/13/2025 6:00:00 PM",16.2,"Jan","2025","Cross Bronx Expy"
679488,"36061NY08454","1/13/2025 6:00:00 PM",14.63,"Jan","2025","Manhattan Bridge"
679490,"36005NY11534","1/13/2025 6:00:00 PM",12.81,"Jan","2025","Mott Haven"
679508,"36005NY12387","1/13/2025 7:00:00 PM",14.29,"Jan","2025","Cross Bronx Expy"
679509,"36061NY08454","1/13/2025 7:00:00 PM",12.87,"Jan","2025","Manhattan Bridge"
679530,"36061NY08454","1/13/2025 8:00:00 PM",12.03,"Jan","2025","Manhattan Bridge"
681058,"36061NY08454","1/16/2025 3:00:00 PM",12.47,"Jan","2025","Manhattan Bridge"
681065,"36005NY12387","1/16/2025 4:00:00 PM",13.02,"Jan","2025","Cross Bronx Expy"
681066,"36061NY08454","1/16/2025 4:00:00 PM",13.05,"Jan","2025","Manhattan Bridge"
681103,"36005NY12387","1/16/2025 5:00:00 PM",14.28,"Jan","2025","Cross Bronx Expy"
681104,"36061NY08454","1/16/2025 5:00:00 PM",12.2,"Jan","2025","Manhattan Bridge"
681292,"36005NY12387","1/17/2025 2:00:00 AM",13.71,"Jan","2025","Cross Bronx Expy"
681293,"36061NY08454","1/17/2025 2:00:00 AM",12.89,"Jan","2025","Manhattan Bridge"
681315,"36005NY12387","1/17/2025 3:00:00 AM",15.7,"Jan","2025","Cross Bronx Expy"
681316,"36061NY08454","1/17/2025 3:00:00 AM",14.16,"Jan","2025","Manhattan Bridge"
681317,"36061NY09734","1/17/2025 3:00:00 AM",12.13,"Jan","2025","Broadway/35th St"
681318,"36005NY11534","1/17/2025 3:00:00 AM",13.08,"Jan","2025","Mott Haven"
681337,"36005NY12387","1/17/2025 4:00:00 AM",18.35,"Jan","2025","Cross Bronx Expy"
681338,"36061NY08454","1/17/2025 4:00:00 AM",15.8,"Jan","2025","Manhattan Bridge"
681339,"36061NY09734","1/17/2025 4:00:00 AM",12.86,"Jan","2025","Broadway/35th St"
681340,"36005NY11534","1/17/2025 4:00:00 AM",14.57,"Jan","2025","Mott Haven"
681341,"36061NY08653","1/17/2025 4:00:00 AM",13.58,"Jan","2025","FDR"
681360,"36005NY12387","1/17/2025 5:00:00 AM",20.21,"Jan","2025","Cross Bronx Expy"
681361,"36061NY08454","1/17/2025 5:00:00 AM",17.33,"Jan","2025","Manhattan Bridge"
681362,"36061NY09734","1/17/2025 5:00:00 AM",13.89,"Jan","2025","Broadway/35th St"
681363,"36005NY11534","1/17/2025 5:00:00 AM",16.07,"Jan","2025","Mott Haven"
681364,"36061NY08653","1/17/2025 5:00:00 AM",14.77,"Jan","2025","FDR"
681383,"36005NY12387","1/17/2025 6:00:00 AM",20.08,"Jan","2025","Cross Bronx Expy"
681384,"36061NY08454","1/17/2025 6:00:00 AM",17.98,"Jan","2025","Manhattan Bridge"
681385,"36061NY09734","1/17/2025 6:00:00 AM",14.32,"Jan","2025","Broadway/35th St"
681386,"36005NY11534","1/17/2025 6:00:00 AM",17,"Jan","2025","Mott Haven"
681387,"36061NY08653","1/17/2025 6:00:00 AM",15.31,"Jan","2025","FDR"
681406,"36005NY12387","1/17/2025 7:00:00 AM",19.83,"Jan","2025","Cross Bronx Expy"
681407,"36061NY08454","1/17/2025 7:00:00 AM",18.39,"Jan","2025","Manhattan Bridge"
681408,"36061NY09734","1/17/2025 7:00:00 AM",14.62,"Jan","2025","Broadway/35th St"
681409,"36005NY11534","1/17/2025 7:00:00 AM",17.1,"Jan","2025","Mott Haven"
681410,"36061NY08653","1/17/2025 7:00:00 AM",15.43,"Jan","2025","FDR"
681429,"36005NY12387","1/17/2025 8:00:00 AM",19.26,"Jan","2025","Cross Bronx Expy"
681430,"36061NY08454","1/17/2025 8:00:00 AM",18.29,"Jan","2025","Manhattan Bridge"
681431,"36061NY09734","1/17/2025 8:00:00 AM",14.71,"Jan","2025","Broadway/35th St"
681432,"36005NY11534","1/17/2025 8:00:00 AM",16.51,"Jan","2025","Mott Haven"
681433,"36061NY08653","1/17/2025 8:00:00 AM",15.01,"Jan","2025","FDR"
681452,"36005NY12387","1/17/2025 9:00:00 AM",19.04,"Jan","2025","Cross Bronx Expy"
681453,"36061NY08454","1/17/2025 9:00:00 AM",17.21,"Jan","2025","Manhattan Bridge"
681454,"36061NY09734","1/17/2025 9:00:00 AM",13.74,"Jan","2025","Broadway/35th St"
681455,"36005NY11534","1/17/2025 9:00:00 AM",15.91,"Jan","2025","Mott Haven"
681456,"36061NY08653","1/17/2025 9:00:00 AM",14,"Jan","2025","FDR"
681475,"36005NY12387","1/17/2025 10:00:00 AM",18.46,"Jan","2025","Cross Bronx Expy"
681476,"36061NY08454","1/17/2025 10:00:00 AM",15.76,"Jan","2025","Manhattan Bridge"
681477,"36061NY09734","1/17/2025 10:00:00 AM",13.31,"Jan","2025","Broadway/35th St"
681478,"36005NY11534","1/17/2025 10:00:00 AM",14.83,"Jan","2025","Mott Haven"
681479,"36061NY08653","1/17/2025 10:00:00 AM",13.87,"Jan","2025","FDR"
681498,"36005NY12387","1/17/2025 11:00:00 AM",17.48,"Jan","2025","Cross Bronx Expy"
681499,"36061NY08454","1/17/2025 11:00:00 AM",15.68,"Jan","2025","Manhattan Bridge"
681500,"36061NY09734","1/17/2025 11:00:00 AM",12.29,"Jan","2025","Broadway/35th St"
681501,"36005NY11534","1/17/2025 11:00:00 AM",14.95,"Jan","2025","Mott Haven"
681502,"36061NY08653","1/17/2025 11:00:00 AM",13.01,"Jan","2025","FDR"
681521,"36005NY12387","1/17/2025 12:00:00 PM",18.3,"Jan","2025","Cross Bronx Expy"
681522,"36061NY08454","1/17/2025 12:00:00 PM",15.84,"Jan","2025","Manhattan Bridge"
681523,"36061NY09734","1/17/2025 12:00:00 PM",12.57,"Jan","2025","Broadway/35th St"
681524,"36005NY11534","1/17/2025 12:00:00 PM",14.93,"Jan","2025","Mott Haven"
681525,"36061NY08653","1/17/2025 12:00:00 PM",13.54,"Jan","2025","FDR"
681543,"36005NY12387","1/17/2025 1:00:00 PM",17.23,"Jan","2025","Cross Bronx Expy"
681544,"36061NY08454","1/17/2025 1:00:00 PM",16.91,"Jan","2025","Manhattan Bridge"
681545,"36061NY09734","1/17/2025 1:00:00 PM",12.87,"Jan","2025","Broadway/35th St"
681546,"36005NY11534","1/17/2025 1:00:00 PM",14.35,"Jan","2025","Mott Haven"
681547,"36061NY08653","1/17/2025 1:00:00 PM",14.25,"Jan","2025","FDR"
681566,"36005NY12387","1/17/2025 2:00:00 PM",17.28,"Jan","2025","Cross Bronx Expy"
681567,"36061NY08454","1/17/2025 2:00:00 PM",17.51,"Jan","2025","Manhattan Bridge"
681568,"36061NY09734","1/17/2025 2:00:00 PM",13.51,"Jan","2025","Broadway/35th St"
681569,"36005NY11534","1/17/2025 2:00:00 PM",15.12,"Jan","2025","Mott Haven"
681570,"36061NY08653","1/17/2025 2:00:00 PM",14.46,"Jan","2025","FDR"
681589,"36005NY12387","1/17/2025 3:00:00 PM",18.61,"Jan","2025","Cross Bronx Expy"
681590,"36061NY08454","1/17/2025 3:00:00 PM",19.44,"Jan","2025","Manhattan Bridge"
681591,"36061NY09734","1/17/2025 3:00:00 PM",15.06,"Jan","2025","Broadway/35th St"
681592,"36005NY11534","1/17/2025 3:00:00 PM",15.56,"Jan","2025","Mott Haven"
681593,"36061NY08653","1/17/2025 3:00:00 PM",15.71,"Jan","2025","FDR"
681612,"36005NY12387","1/17/2025 4:00:00 PM",18.49,"Jan","2025","Cross Bronx Expy"
681613,"36061NY08454","1/17/2025 4:00:00 PM",17.91,"Jan","2025","Manhattan Bridge"
681614,"36061NY09734","1/17/2025 4:00:00 PM",13.98,"Jan","2025","Broadway/35th St"
681615,"36005NY11534","1/17/2025 4:00:00 PM",15.29,"Jan","2025","Mott Haven"
681616,"36061NY08653","1/17/2025 4:00:00 PM",14.79,"Jan","2025","FDR"
681635,"36005NY12387","1/17/2025 5:00:00 PM",15.17,"Jan","2025","Cross Bronx Expy"
681636,"36061NY08454","1/17/2025 5:00:00 PM",14.55,"Jan","2025","Manhattan Bridge"
681637,"36061NY09734","1/17/2025 5:00:00 PM",12.48,"Jan","2025","Broadway/35th St"
681638,"36005NY11534","1/17/2025 5:00:00 PM",12.17,"Jan","2025","Mott Haven"
681639,"36061NY08653","1/17/2025 5:00:00 PM",12.55,"Jan","2025","FDR"
681657,"36005NY12387","1/17/2025 6:00:00 PM",12.82,"Jan","2025","Cross Bronx Expy"
681658,"36061NY08454","1/17/2025 6:00:00 PM",13.71,"Jan","2025","Manhattan Bridge"
681682,"36061NY08454","1/17/2025 7:00:00 PM",12.35,"Jan","2025","Manhattan Bridge"
681705,"36061NY08454","1/17/2025 8:00:00 PM",12.18,"Jan","2025","Manhattan Bridge"
681728,"36061NY08454","1/17/2025 9:00:00 PM",14.03,"Jan","2025","Manhattan Bridge"
681751,"36061NY08454","1/17/2025 10:00:00 PM",12.11,"Jan","2025","Manhattan Bridge"
681774,"36061NY08454","1/17/2025 11:00:00 PM",12.7,"Jan","2025","Manhattan Bridge"
681796,"36005NY12387","1/18/2025 12:00:00 AM",12.28,"Jan","2025","Cross Bronx Expy"
681797,"36061NY08454","1/18/2025 12:00:00 AM",13.04,"Jan","2025","Manhattan Bridge"
681819,"36005NY12387","1/18/2025 1:00:00 AM",13.73,"Jan","2025","Cross Bronx Expy"
681820,"36061NY08454","1/18/2025 1:00:00 AM",13.09,"Jan","2025","Manhattan Bridge"
681842,"36005NY12387","1/18/2025 2:00:00 AM",13.88,"Jan","2025","Cross Bronx Expy"
681843,"36061NY08454","1/18/2025 2:00:00 AM",12.51,"Jan","2025","Manhattan Bridge"
681865,"36005NY12387","1/18/2025 3:00:00 AM",12.94,"Jan","2025","Cross Bronx Expy"
682260,"36061NY08653","1/18/2025 8:00:00 PM",17.53,"Jan","2025","FDR"
682279,"36005NY12387","1/18/2025 9:00:00 PM",12.54,"Jan","2025","Cross Bronx Expy"
682283,"36061NY08653","1/18/2025 9:00:00 PM",15.57,"Jan","2025","FDR"
682302,"36005NY12387","1/18/2025 10:00:00 PM",14.34,"Jan","2025","Cross Bronx Expy"
682325,"36005NY12387","1/18/2025 11:00:00 PM",14.73,"Jan","2025","Cross Bronx Expy"
682328,"36005NY11534","1/18/2025 11:00:00 PM",12.72,"Jan","2025","Mott Haven"
682347,"36005NY12387","1/19/2025 12:00:00 AM",17.83,"Jan","2025","Cross Bronx Expy"
682350,"36005NY11534","1/19/2025 12:00:00 AM",14.97,"Jan","2025","Mott Haven"
682371,"36005NY12387","1/19/2025 1:00:00 AM",19.57,"Jan","2025","Cross Bronx Expy"
682374,"36005NY11534","1/19/2025 1:00:00 AM",15.79,"Jan","2025","Mott Haven"
682394,"36005NY12387","1/19/2025 2:00:00 AM",15.83,"Jan","2025","Cross Bronx Expy"
682395,"36061NY08454","1/19/2025 2:00:00 AM",13.6,"Jan","2025","Manhattan Bridge"
682397,"36005NY11534","1/19/2025 2:00:00 AM",13.73,"Jan","2025","Mott Haven"
682417,"36005NY12387","1/19/2025 3:00:00 AM",17.94,"Jan","2025","Cross Bronx Expy"
682418,"36061NY08454","1/19/2025 3:00:00 AM",15.56,"Jan","2025","Manhattan Bridge"
682419,"36061NY09734","1/19/2025 3:00:00 AM",13.71,"Jan","2025","Broadway/35th St"
682420,"36005NY11534","1/19/2025 3:00:00 AM",14.66,"Jan","2025","Mott Haven"
682440,"36005NY12387","1/19/2025 4:00:00 AM",20.22,"Jan","2025","Cross Bronx Expy"
682441,"36061NY08454","1/19/2025 4:00:00 AM",16.13,"Jan","2025","Manhattan Bridge"
682442,"36061NY09734","1/19/2025 4:00:00 AM",13.39,"Jan","2025","Broadway/35th St"
682443,"36005NY11534","1/19/2025 4:00:00 AM",16.13,"Jan","2025","Mott Haven"
682444,"36061NY08653","1/19/2025 4:00:00 AM",13.76,"Jan","2025","FDR"
682463,"36005NY12387","1/19/2025 5:00:00 AM",19.68,"Jan","2025","Cross Bronx Expy"
682464,"36061NY08454","1/19/2025 5:00:00 AM",15.25,"Jan","2025","Manhattan Bridge"
682465,"36061NY09734","1/19/2025 5:00:00 AM",13.3,"Jan","2025","Broadway/35th St"
