"Systolic120","Sex","EstimatedCount","WithinGroupPercent"
"HealthSystolic","Female",95756314.701999,0.659301967405648
"HighSystolic","Female",49482618.952029,0.340698032594352
"HealthSystolic","Male",70215697.947513,0.496787808769875
"HighSystolic","Male",71123716.402002,0.503212191230125
