"ID","SiteID","ObservationTimeUTC","Value","Month","Year","SiteName"
673071,"36061NY09734","1/1/2025 11:00:00 AM",10.69,"Jan","2025","Broadway/35th St"
673072,"36005NY11534","1/1/2025 11:00:00 AM",12.31,"Jan","2025","Mott Haven"
673073,"36061NY08653","1/1/2025 11:00:00 AM",9.68,"Jan","2025","FDR"
673091,"36005NY12387","1/1/2025 12:00:00 PM",11.34,"Jan","2025","Cross Bronx Expy"
673092,"36061NY08454","1/1/2025 12:00:00 PM",11.68,"Jan","2025","Manhattan Bridge"
673093,"36061NY09734","1/1/2025 12:00:00 PM",9.06,"Jan","2025","Broadway/35th St"
673094,"36005NY11534","1/1/2025 12:00:00 PM",10.87,"Jan","2025","Mott Haven"
673095,"36061NY08653","1/1/2025 12:00:00 PM",9.59,"Jan","2025","FDR"
673113,"36005NY12387","1/1/2025 1:00:00 PM",10.96,"Jan","2025","Cross Bronx Expy"
673114,"36061NY08454","1/1/2025 1:00:00 PM",11.36,"Jan","2025","Manhattan Bridge"
673115,"36061NY09734","1/1/2025 1:00:00 PM",8.79,"Jan","2025","Broadway/35th St"
673116,"36005NY11534","1/1/2025 1:00:00 PM",9.72,"Jan","2025","Mott Haven"
673117,"36061NY08653","1/1/2025 1:00:00 PM",9.08,"Jan","2025","FDR"
673135,"36005NY12387","1/1/2025 2:00:00 PM",10.03,"Jan","2025","Cross Bronx Expy"
673136,"36061NY08454","1/1/2025 2:00:00 PM",10.73,"Jan","2025","Manhattan Bridge"
673137,"36061NY09734","1/1/2025 2:00:00 PM",8.65,"Jan","2025","Broadway/35th St"
673138,"36005NY11534","1/1/2025 2:00:00 PM",10.11,"Jan","2025","Mott Haven"
673139,"36061NY08653","1/1/2025 2:00:00 PM",8.72,"Jan","2025","FDR"
673157,"36005NY12387","1/1/2025 3:00:00 PM",9.02,"Jan","2025","Cross Bronx Expy"
673158,"36061NY08454","1/1/2025 3:00:00 PM",10.59,"Jan","2025","Manhattan Bridge"
673159,"36061NY09734","1/1/2025 3:00:00 PM",8.58,"Jan","2025","Broadway/35th St"
673160,"36005NY11534","1/1/2025 3:00:00 PM",10.46,"Jan","2025","Mott Haven"
673161,"36061NY08653","1/1/2025 3:00:00 PM",8.32,"Jan","2025","FDR"
673178,"36005NY12387","1/1/2025 4:00:00 PM",7.09,"Jan","2025","Cross Bronx Expy"
673179,"36061NY08454","1/1/2025 4:00:00 PM",8.66,"Jan","2025","Manhattan Bridge"
673180,"36061NY09734","1/1/2025 4:00:00 PM",8.29,"Jan","2025","Broadway/35th St"
673181,"36005NY11534","1/1/2025 4:00:00 PM",6.9,"Jan","2025","Mott Haven"
673182,"36061NY08653","1/1/2025 4:00:00 PM",6.97,"Jan","2025","FDR"
673200,"36005NY12387","1/1/2025 5:00:00 PM",6.86,"Jan","2025","Cross Bronx Expy"
673201,"36061NY08454","1/1/2025 5:00:00 PM",5.03,"Jan","2025","Manhattan Bridge"
673202,"36061NY09734","1/1/2025 5:00:00 PM",6.12,"Jan","2025","Broadway/35th St"
673203,"36005NY11534","1/1/2025 5:00:00 PM",4.24,"Jan","2025","Mott Haven"
673204,"36061NY08653","1/1/2025 5:00:00 PM",4.14,"Jan","2025","FDR"
673223,"36005NY12387","1/1/2025 6:00:00 PM",3.85,"Jan","2025","Cross Bronx Expy"
673224,"36061NY08454","1/1/2025 6:00:00 PM",4.31,"Jan","2025","Manhattan Bridge"
673225,"36061NY09734","1/1/2025 6:00:00 PM",4.56,"Jan","2025","Broadway/35th St"
673226,"36005NY11534","1/1/2025 6:00:00 PM",2.19,"Jan","2025","Mott Haven"
673227,"36061NY08653","1/1/2025 6:00:00 PM",3.04,"Jan","2025","FDR"
673245,"36005NY12387","1/1/2025 7:00:00 PM",3.24,"Jan","2025","Cross Bronx Expy"
673246,"36061NY08454","1/1/2025 7:00:00 PM",4.5,"Jan","2025","Manhattan Bridge"
673247,"36061NY09734","1/1/2025 7:00:00 PM",4.61,"Jan","2025","Broadway/35th St"
673248,"36005NY11534","1/1/2025 7:00:00 PM",2.43,"Jan","2025","Mott Haven"
673249,"36061NY08653","1/1/2025 7:00:00 PM",3.05,"Jan","2025","FDR"
673267,"36005NY12387","1/1/2025 8:00:00 PM",2.99,"Jan","2025","Cross Bronx Expy"
673268,"36061NY08454","1/1/2025 8:00:00 PM",3.46,"Jan","2025","Manhattan Bridge"
673269,"36061NY09734","1/1/2025 8:00:00 PM",4.06,"Jan","2025","Broadway/35th St"
673270,"36005NY11534","1/1/2025 8:00:00 PM",3.35,"Jan","2025","Mott Haven"
673271,"36061NY08653","1/1/2025 8:00:00 PM",2.58,"Jan","2025","FDR"
673289,"36005NY12387","1/1/2025 9:00:00 PM",3.19,"Jan","2025","Cross Bronx Expy"
673290,"36061NY08454","1/1/2025 9:00:00 PM",3.27,"Jan","2025","Manhattan Bridge"
673291,"36061NY09734","1/1/2025 9:00:00 PM",4.28,"Jan","2025","Broadway/35th St"
673292,"36005NY11534","1/1/2025 9:00:00 PM",2.93,"Jan","2025","Mott Haven"
673293,"36061NY08653","1/1/2025 9:00:00 PM",2.6,"Jan","2025","FDR"
673311,"36005NY12387","1/1/2025 10:00:00 PM",2.55,"Jan","2025","Cross Bronx Expy"
673312,"36061NY08454","1/1/2025 10:00:00 PM",3.59,"Jan","2025","Manhattan Bridge"
673313,"36061NY09734","1/1/2025 10:00:00 PM",4.23,"Jan","2025","Broadway/35th St"
673314,"36005NY11534","1/1/2025 10:00:00 PM",4.06,"Jan","2025","Mott Haven"
673315,"36061NY08653","1/1/2025 10:00:00 PM",2.65,"Jan","2025","FDR"
673333,"36005NY12387","1/1/2025 11:00:00 PM",2.62,"Jan","2025","Cross Bronx Expy"
673334,"36061NY08454","1/1/2025 11:00:00 PM",3.9,"Jan","2025","Manhattan Bridge"
673335,"36061NY09734","1/1/2025 11:00:00 PM",4.28,"Jan","2025","Broadway/35th St"
673336,"36005NY11534","1/1/2025 11:00:00 PM",5.22,"Jan","2025","Mott Haven"
673337,"36061NY08653","1/1/2025 11:00:00 PM",2.81,"Jan","2025","FDR"
673355,"36005NY12387","1/2/2025 12:00:00 AM",2.64,"Jan","2025","Cross Bronx Expy"
673356,"36061NY08454","1/2/2025 12:00:00 AM",3.35,"Jan","2025","Manhattan Bridge"
673357,"36061NY09734","1/2/2025 12:00:00 AM",4.4,"Jan","2025","Broadway/35th St"
673358,"36005NY11534","1/2/2025 12:00:00 AM",7.91,"Jan","2025","Mott Haven"
673359,"36061NY08653","1/2/2025 12:00:00 AM",2.79,"Jan","2025","FDR"
673377,"36005NY12387","1/2/2025 1:00:00 AM",2.57,"Jan","2025","Cross Bronx Expy"
673378,"36061NY08454","1/2/2025 1:00:00 AM",3.38,"Jan","2025","Manhattan Bridge"
673379,"36061NY09734","1/2/2025 1:00:00 AM",4.44,"Jan","2025","Broadway/35th St"
673380,"36005NY11534","1/2/2025 1:00:00 AM",3.78,"Jan","2025","Mott Haven"
673381,"36061NY08653","1/2/2025 1:00:00 AM",2.73,"Jan","2025","FDR"
673398,"36005NY12387","1/2/2025 2:00:00 AM",2.77,"Jan","2025","Cross Bronx Expy"
673399,"36061NY08454","1/2/2025 2:00:00 AM",3.22,"Jan","2025","Manhattan Bridge"
673400,"36061NY09734","1/2/2025 2:00:00 AM",3.23,"Jan","2025","Broadway/35th St"
673401,"36005NY11534","1/2/2025 2:00:00 AM",4.09,"Jan","2025","Mott Haven"
673402,"36061NY08653","1/2/2025 2:00:00 AM",2.68,"Jan","2025","FDR"
673421,"36005NY12387","1/2/2025 3:00:00 AM",2.78,"Jan","2025","Cross Bronx Expy"
673422,"36061NY08454","1/2/2025 3:00:00 AM",3.11,"Jan","2025","Manhattan Bridge"
673423,"36061NY09734","1/2/2025 3:00:00 AM",2.91,"Jan","2025","Broadway/35th St"
673424,"36005NY11534","1/2/2025 3:00:00 AM",3.98,"Jan","2025","Mott Haven"
673438,"36061NY08653","1/2/2025 3:00:00 AM",2.53,"Jan","2025","FDR"
673443,"36005NY12387","1/2/2025 4:00:00 AM",2.92,"Jan","2025","Cross Bronx Expy"
673444,"36061NY08454","1/2/2025 4:00:00 AM",2.64,"Jan","2025","Manhattan Bridge"
673445,"36061NY09734","1/2/2025 4:00:00 AM",2.77,"Jan","2025","Broadway/35th St"
673446,"36005NY11534","1/2/2025 4:00:00 AM",2.57,"Jan","2025","Mott Haven"
673447,"36061NY08653","1/2/2025 4:00:00 AM",2.53,"Jan","2025","FDR"
673465,"36005NY12387","1/2/2025 5:00:00 AM",2.76,"Jan","2025","Cross Bronx Expy"
673466,"36061NY08454","1/2/2025 5:00:00 AM",2.69,"Jan","2025","Manhattan Bridge"
673467,"36061NY09734","1/2/2025 5:00:00 AM",2.66,"Jan","2025","Broadway/35th St"
673468,"36005NY11534","1/2/2025 5:00:00 AM",2.62,"Jan","2025","Mott Haven"
673469,"36061NY08653","1/2/2025 5:00:00 AM",2.58,"Jan","2025","FDR"
673487,"36005NY12387","1/2/2025 6:00:00 AM",2.77,"Jan","2025","Cross Bronx Expy"
673488,"36061NY08454","1/2/2025 6:00:00 AM",3,"Jan","2025","Manhattan Bridge"
673489,"36061NY09734","1/2/2025 6:00:00 AM",2.68,"Jan","2025","Broadway/35th St"
673490,"36005NY11534","1/2/2025 6:00:00 AM",2.56,"Jan","2025","Mott Haven"
673491,"36061NY08653","1/2/2025 6:00:00 AM",2.7,"Jan","2025","FDR"
673509,"36005NY12387","1/2/2025 7:00:00 AM",3.19,"Jan","2025","Cross Bronx Expy"
673510,"36061NY08454","1/2/2025 7:00:00 AM",2.78,"Jan","2025","Manhattan Bridge"
673511,"36061NY09734","1/2/2025 7:00:00 AM",2.54,"Jan","2025","Broadway/35th St"
673512,"36005NY11534","1/2/2025 7:00:00 AM",2.46,"Jan","2025","Mott Haven"
673513,"36061NY08653","1/2/2025 7:00:00 AM",2.5,"Jan","2025","FDR"
673531,"36005NY12387","1/2/2025 8:00:00 AM",3,"Jan","2025","Cross Bronx Expy"
673532,"36061NY08454","1/2/2025 8:00:00 AM",2.8,"Jan","2025","Manhattan Bridge"
673533,"36061NY09734","1/2/2025 8:00:00 AM",2.57,"Jan","2025","Broadway/35th St"
673534,"36005NY11534","1/2/2025 8:00:00 AM",2.44,"Jan","2025","Mott Haven"
673535,"36061NY08653","1/2/2025 8:00:00 AM",2.51,"Jan","2025","FDR"
673553,"36005NY12387","1/2/2025 9:00:00 AM",3.12,"Jan","2025","Cross Bronx Expy"
673554,"36061NY08454","1/2/2025 9:00:00 AM",3,"Jan","2025","Manhattan Bridge"
673555,"36061NY09734","1/2/2025 9:00:00 AM",2.74,"Jan","2025","Broadway/35th St"
673556,"36005NY11534","1/2/2025 9:00:00 AM",2.35,"Jan","2025","Mott Haven"
673557,"36061NY08653","1/2/2025 9:00:00 AM",2.58,"Jan","2025","FDR"
673575,"36005NY12387","1/2/2025 10:00:00 AM",3.62,"Jan","2025","Cross Bronx Expy"
673576,"36061NY08454","1/2/2025 10:00:00 AM",3.68,"Jan","2025","Manhattan Bridge"
673577,"36061NY09734","1/2/2025 10:00:00 AM",2.99,"Jan","2025","Broadway/35th St"
673578,"36005NY11534","1/2/2025 10:00:00 AM",2.88,"Jan","2025","Mott Haven"
673579,"36061NY08653","1/2/2025 10:00:00 AM",2.72,"Jan","2025","FDR"
673597,"36005NY12387","1/2/2025 11:00:00 AM",3.7,"Jan","2025","Cross Bronx Expy"
673598,"36061NY08454","1/2/2025 11:00:00 AM",4.73,"Jan","2025","Manhattan Bridge"
673599,"36061NY09734","1/2/2025 11:00:00 AM",3.59,"Jan","2025","Broadway/35th St"
673600,"36005NY11534","1/2/2025 11:00:00 AM",3.59,"Jan","2025","Mott Haven"
673601,"36061NY08653","1/2/2025 11:00:00 AM",3.44,"Jan","2025","FDR"
673619,"36005NY12387","1/2/2025 12:00:00 PM",4.31,"Jan","2025","Cross Bronx Expy"
673620,"36061NY08454","1/2/2025 12:00:00 PM",4.57,"Jan","2025","Manhattan Bridge"
673621,"36061NY09734","1/2/2025 12:00:00 PM",3.56,"Jan","2025","Broadway/35th St"
673622,"36005NY11534","1/2/2025 12:00:00 PM",3.76,"Jan","2025","Mott Haven"
673636,"36061NY08653","1/2/2025 12:00:00 PM",3.59,"Jan","2025","FDR"
673641,"36005NY12387","1/2/2025 1:00:00 PM",4.27,"Jan","2025","Cross Bronx Expy"
673642,"36061NY08454","1/2/2025 1:00:00 PM",4.54,"Jan","2025","Manhattan Bridge"
673643,"36061NY09734","1/2/2025 1:00:00 PM",3.91,"Jan","2025","Broadway/35th St"
673644,"36005NY11534","1/2/2025 1:00:00 PM",3.81,"Jan","2025","Mott Haven"
673645,"36061NY08653","1/2/2025 1:00:00 PM",3.84,"Jan","2025","FDR"
673663,"36005NY12387","1/2/2025 2:00:00 PM",4.51,"Jan","2025","Cross Bronx Expy"
673664,"36061NY08454","1/2/2025 2:00:00 PM",4.84,"Jan","2025","Manhattan Bridge"
673665,"36061NY09734","1/2/2025 2:00:00 PM",3.81,"Jan","2025","Broadway/35th St"
673666,"36005NY11534","1/2/2025 2:00:00 PM",3.12,"Jan","2025","Mott Haven"
673667,"36061NY08653","1/2/2025 2:00:00 PM",3.66,"Jan","2025","FDR"
673685,"36005NY12387","1/2/2025 3:00:00 PM",3.96,"Jan","2025","Cross Bronx Expy"
673686,"36061NY08454","1/2/2025 3:00:00 PM",3.88,"Jan","2025","Manhattan Bridge"
673687,"36061NY09734","1/2/2025 3:00:00 PM",5.21,"Jan","2025","Broadway/35th St"
673688,"36005NY11534","1/2/2025 3:00:00 PM",2.25,"Jan","2025","Mott Haven"
673689,"36061NY08653","1/2/2025 3:00:00 PM",3.56,"Jan","2025","FDR"
673707,"36005NY12387","1/2/2025 4:00:00 PM",3.79,"Jan","2025","Cross Bronx Expy"
673708,"36061NY08454","1/2/2025 4:00:00 PM",3.96,"Jan","2025","Manhattan Bridge"
673709,"36061NY09734","1/2/2025 4:00:00 PM",6.76,"Jan","2025","Broadway/35th St"
673710,"36005NY11534","1/2/2025 4:00:00 PM",2.88,"Jan","2025","Mott Haven"
673711,"36061NY08653","1/2/2025 4:00:00 PM",3.45,"Jan","2025","FDR"
673729,"36005NY12387","1/2/2025 5:00:00 PM",3.56,"Jan","2025","Cross Bronx Expy"
673730,"36061NY08454","1/2/2025 5:00:00 PM",3.8,"Jan","2025","Manhattan Bridge"
673731,"36061NY09734","1/2/2025 5:00:00 PM",6.07,"Jan","2025","Broadway/35th St"
673732,"36005NY11534","1/2/2025 5:00:00 PM",2.87,"Jan","2025","Mott Haven"
673733,"36061NY08653","1/2/2025 5:00:00 PM",3.21,"Jan","2025","FDR"
673751,"36005NY12387","1/2/2025 6:00:00 PM",3.65,"Jan","2025","Cross Bronx Expy"
673752,"36061NY08454","1/2/2025 6:00:00 PM",4.72,"Jan","2025","Manhattan Bridge"
